service, type, link, generated, timeSinceGenerated, lastRecordTimeStamp, firstRecordTimeStamp, Collection Time Window in Minutes, totalRecords, rank1, rank2, rank3, rank4, rank5, rank6, rank7, rank8, rank9, rank10
news,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/news,2024-05-02T09:40:34.204Z,6,2024-05-02T09:38:00Z,2024-05-02T09:22:00Z,16,20,2530,2160,1055,823,562,488,326,286,281,268
pashto,read,https://onward-journeys.api.bbci.co.uk/api/most/read/pashto,2024-05-02T09:46:43.432Z,0,2024-05-02T09:44:00Z,2024-05-02T07:44:00Z,120,20,341,313,159,147,133,63,39,37,34,25
pashto,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/pashto,2024-05-02T09:32:07.875Z,14,2024-05-02T09:32:00Z,2024-05-01T13:29:00Z,1203,20,593,417,114,61,61,57,50,24,23,18
persian,read,https://onward-journeys.api.bbci.co.uk/api/most/read/persian,2024-05-02T09:32:25.367Z,14,2024-05-02T09:29:00Z,2024-05-02T09:14:00Z,15,20,484,475,405,321,280,225,180,141,129,97
persian,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/persian,2024-05-02T09:32:56.454Z,13,2024-05-02T09:30:00Z,2024-05-02T03:30:00Z,360,20,1341,714,244,169,133,74,44,42,42,26
pidgin,read,https://onward-journeys.api.bbci.co.uk/api/most/read/pidgin,2024-05-02T09:36:03.129Z,10,2024-05-02T09:33:00Z,2024-05-02T07:33:00Z,120,20,1442,601,477,399,224,196,134,95,76,67
pidgin,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/pidgin,2024-05-02T09:36:42.521Z,10,2024-05-02T09:36:00Z,2024-04-27T09:34:00Z,7202,20,91,81,37,26,22,21,21,13,10,10
portuguese,read,https://onward-journeys.api.bbci.co.uk/api/most/read/portuguese,2024-05-02T09:34:17.141Z,12,2024-05-02T09:32:00Z,2024-05-02T09:17:00Z,15,20,236,196,162,127,102,99,94,71,68,49
portuguese,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/portuguese,2024-05-02T09:34:41.161Z,12,2024-05-02T09:34:00Z,2024-05-01T13:32:00Z,1202,20,8839,1209,504,428,299,275,212,205,164,147
punjabi,read,https://onward-journeys.api.bbci.co.uk/api/most/read/punjabi,2024-05-02T09:42:25.485Z,4,2024-05-02T09:40:00Z,2024-05-02T07:40:00Z,120,20,883,197,141,62,55,52,40,36,35,31
punjabi,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/punjabi,2024-05-02T09:27:51.544Z,19,2024-05-02T09:27:00Z,2024-05-01T13:25:00Z,1202,20,414,238,125,99,71,11,7,5,4,4
russian,read,https://onward-journeys.api.bbci.co.uk/api/most/read/russian,2024-05-02T09:32:30.938Z,14,2024-05-02T09:29:00Z,2024-05-02T09:14:00Z,15,20,1536,974,414,213,168,141,134,113,106,99
russian,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/russian,2024-05-02T09:33:00.996Z,13,2024-05-02T09:30:00Z,2024-05-02T07:30:00Z,120,20,476,100,71,61,57,57,51,32,12,12
