Dependency,Type,Most Recent Version,Most Recent Version Date,Our Version,Our Version Date,Our Version Freshness in Days
node-fetch,module,4.0.0-beta.4,Wed Aug 23 2023 18:18:39 GMT+0100 (British Summer Time),2.6.12,Thu Jun 29 2023 20:16:33 GMT+0100 (British Summer Time),88
prettier,module,3.0.3,Tue Aug 29 2023 13:30:12 GMT+0100 (British Summer Time),2.8.8,Sun Apr 23 2023 08:26:12 GMT+0100 (British Summer Time),155
npm-run-all,commonjs,4.1.5,Fri Jul 21 2023 16:33:40 GMT+0100 (British Summer Time),4.1.5,Sat Nov 24 2018 13:52:41 GMT+0000 (Greenwich Mean Time),1766
jest-silent-reporter,commonjs,0.5.0,Fri May 06 2022 13:44:25 GMT+0100 (British Summer Time),0.5.0,Wed Mar 10 2021 07:04:12 GMT+0000 (Greenwich Mean Time),929
retry,commonjs,0.13.1,Sun Jun 26 2022 13:20:05 GMT+0100 (British Summer Time),0.13.1,Mon Jun 21 2021 08:45:32 GMT+0100 (British Summer Time),826
minimist,commonjs,1.2.8,Fri Jun 09 2023 22:33:07 GMT+0100 (British Summer Time),1.2.8,Thu Feb 09 2023 20:59:49 GMT+0000 (Greenwich Mean Time),228
prop-types,commonjs,15.8.1,Thu Aug 24 2023 19:09:31 GMT+0100 (British Summer Time),15.8.1,Wed Jan 05 2022 00:08:33 GMT+0000 (Greenwich Mean Time),629
mocha-junit-reporter,commonjs,2.2.1,Wed Jul 12 2023 19:14:12 GMT+0100 (British Summer Time),2.2.1,Wed Jul 12 2023 19:14:12 GMT+0100 (British Summer Time),75
strip-ansi,module,7.1.0,Sun May 28 2023 10:55:04 GMT+0100 (British Summer Time),6.0.1,Thu Sep 23 2021 17:34:41 GMT+0100 (British Summer Time),732
react-test-renderer,commonjs,18.3.0-next-fecc288b7-20221025,Mon Sep 25 2023 17:18:43 GMT+0100 (British Summer Time),18.2.0,Tue Jun 14 2022 20:47:11 GMT+0100 (British Summer Time),468
jest-serializer-html,commonjs,7.1.0,Thu Jul 27 2023 09:58:21 GMT+0100 (British Summer Time),7.1.0,Tue Jul 13 2021 14:09:56 GMT+0100 (British Summer Time),804
ora,module,7.0.1,Tue Aug 01 2023 16:51:15 GMT+0100 (British Summer Time),5.4.1,Tue Jun 08 2021 08:38:49 GMT+0100 (British Summer Time),839
stylelint-config-recommended,commonjs,13.0.0,Tue Jul 04 2023 21:21:38 GMT+0100 (British Summer Time),7.0.0,Tue Feb 08 2022 18:03:05 GMT+0000 (Greenwich Mean Time),594
terser-webpack-plugin,commonjs,5.3.9,Thu May 18 2023 00:20:28 GMT+0100 (British Summer Time),5.3.9,Thu May 18 2023 00:20:28 GMT+0100 (British Summer Time),131
start-server-nestjs-webpack-plugin,commonjs,2.2.5,Wed May 18 2022 16:43:10 GMT+0100 (British Summer Time),2.2.5,Wed Nov 11 2020 19:39:49 GMT+0000 (Greenwich Mean Time),1048
ts-jest,commonjs,29.1.1,Fri Jun 30 2023 08:49:33 GMT+0100 (British Summer Time),29.1.1,Fri Jun 30 2023 08:49:33 GMT+0100 (British Summer Time),87
stylelint,commonjs,15.10.3,Fri Aug 18 2023 14:14:40 GMT+0100 (British Summer Time),13.13.1,Sat May 01 2021 12:05:57 GMT+0100 (British Summer Time),877
storybook-addon-designs,commonjs,7.0.0-beta.2,Sun Sep 10 2023 09:55:35 GMT+0100 (British Summer Time),6.3.1,Mon Jun 13 2022 16:11:58 GMT+0100 (British Summer Time),469
jsdom,commonjs,22.1.0,Sat May 27 2023 11:19:19 GMT+0100 (British Summer Time),19.0.0,Thu Dec 02 2021 21:45:15 GMT+0000 (Greenwich Mean Time),662
webpack,commonjs,5.88.2,Wed Sep 06 2023 19:55:24 GMT+0100 (British Summer Time),5.82.1,Wed May 10 2023 16:37:27 GMT+0100 (British Summer Time),138
typescript,commonjs,5.3.0-dev.20230925,Mon Sep 25 2023 08:14:47 GMT+0100 (British Summer Time),4.9.5,Mon Jan 30 2023 21:05:37 GMT+0000 (Greenwich Mean Time),238
stream-browserify,commonjs,3.0.0,Tue Nov 08 2022 10:41:09 GMT+0000 (Greenwich Mean Time),3.0.0,Thu Apr 16 2020 13:50:54 GMT+0100 (British Summer Time),1257
webpack-node-externals,commonjs,3.0.0,Wed Jun 29 2022 01:00:24 GMT+0100 (British Summer Time),3.0.0,Wed Apr 21 2021 11:08:25 GMT+0100 (British Summer Time),887
webpack-dev-server,commonjs,4.15.1,Fri Jun 09 2023 15:38:59 GMT+0100 (British Summer Time),4.15.0,Sun May 07 2023 13:47:33 GMT+0100 (British Summer Time),141
timemachine,index.d.ts,0.3.2,Mon Jun 27 2022 07:48:11 GMT+0100 (British Summer Time),0.3.2,Thu Oct 15 2020 05:46:14 GMT+0100 (British Summer Time),1076
supertest,commonjs,6.3.3,Wed Dec 07 2022 23:26:52 GMT+0000 (Greenwich Mean Time),6.3.3,Wed Dec 07 2022 23:26:52 GMT+0000 (Greenwich Mean Time),292
ts-loader,commonjs,9.4.4,Wed Jun 28 2023 11:23:33 GMT+0100 (British Summer Time),9.4.4,Wed Jun 28 2023 11:23:33 GMT+0100 (British Summer Time),89
webpack-bundle-analyzer,commonjs,4.9.1,Wed Aug 30 2023 16:44:31 GMT+0100 (British Summer Time),4.8.0,Mon Feb 13 2023 08:38:45 GMT+0000 (Greenwich Mean Time),224
wait-on,commonjs,7.0.1,Fri Dec 16 2022 19:59:41 GMT+0000 (Greenwich Mean Time),6.0.1,Fri Feb 11 2022 01:25:54 GMT+0000 (Greenwich Mean Time),592
webpack-merge,commonjs,5.9.0,Mon May 22 2023 08:16:51 GMT+0100 (British Summer Time),5.8.0,Mon Jun 07 2021 09:34:45 GMT+0100 (British Summer Time),840
webpack-cli,commonjs,5.1.4,Wed Jun 07 2023 19:23:17 GMT+0100 (British Summer Time),4.10.0,Mon Jun 13 2022 01:40:03 GMT+0100 (British Summer Time),470
yaml-js,commonjs,0.3.1,Wed Jul 12 2023 20:13:22 GMT+0100 (British Summer Time),0.3.1,Sun Sep 19 2021 21:32:11 GMT+0100 (British Summer Time),736
